pathway	Description	p.Val	FDR	Phenotype
GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_DNA_DAMAGE_STIMULUS	GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_DNA_DAMAGE_STIMULUS	1	1	1
GO_GLUTAMATE_METABOLIC_PROCESS	GO_GLUTAMATE_METABOLIC_PROCESS	1	1	1
GO_SPHINGOMYELIN_METABOLIC_PROCESS	GO_SPHINGOMYELIN_METABOLIC_PROCESS	1	1	1
GO_TRNA_METABOLIC_PROCESS	GO_TRNA_METABOLIC_PROCESS	1	1	1
GO_NEGATIVE_REGULATION_OF_ATPASE_ACTIVITY	GO_NEGATIVE_REGULATION_OF_ATPASE_ACTIVITY	1	1	1
GO_REGULATION_OF_DENDRITE_MORPHOGENESIS	GO_REGULATION_OF_DENDRITE_MORPHOGENESIS	1	1	1
GO_CELLULAR_RESPONSE_TO_LITHIUM_ION	GO_CELLULAR_RESPONSE_TO_LITHIUM_ION	1	1	1
GO_CELLULAR_RESPONSE_TO_PROSTAGLANDIN_STIMULUS	GO_CELLULAR_RESPONSE_TO_PROSTAGLANDIN_STIMULUS	1	1	1
GO_NEGATIVE_REGULATION_OF_VIRAL_PROCESS	GO_NEGATIVE_REGULATION_OF_VIRAL_PROCESS	1	1	1
GO_ERYTHROCYTE_HOMEOSTASIS	GO_ERYTHROCYTE_HOMEOSTASIS	1	1	1
GO_NOTCH_RECEPTOR_PROCESSING	GO_NOTCH_RECEPTOR_PROCESSING	1	1	1
GO_SUCKLING_BEHAVIOR	GO_SUCKLING_BEHAVIOR	1	1	1
GO_POSITIVE_REGULATION_OF_KIDNEY_DEVELOPMENT	GO_POSITIVE_REGULATION_OF_KIDNEY_DEVELOPMENT	1	1	1
GO_REGULATION_OF_NON_CANONICAL_WNT_SIGNALING_PATHWAY	GO_REGULATION_OF_NON_CANONICAL_WNT_SIGNALING_PATHWAY	1	1	1
GO_NEGATIVE_REGULATION_OF_DNA_RECOMBINATION	GO_NEGATIVE_REGULATION_OF_DNA_RECOMBINATION	1	1	1
GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_MIGRATION	GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_MIGRATION	1	1	1
GO_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	GO_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	1	1	1
GO_POSITIVE_REGULATION_OF_CELLULAR_EXTRAVASATION	GO_POSITIVE_REGULATION_OF_CELLULAR_EXTRAVASATION	1	1	1
GO_PEROXISOME_ORGANIZATION	GO_PEROXISOME_ORGANIZATION	1	1	1
GO_DNA_STRAND_ELONGATION_INVOLVED_IN_DNA_REPLICATION	GO_DNA_STRAND_ELONGATION_INVOLVED_IN_DNA_REPLICATION	1	1	1
GO_CELLULAR_MODIFIED_AMINO_ACID_CATABOLIC_PROCESS	GO_CELLULAR_MODIFIED_AMINO_ACID_CATABOLIC_PROCESS	1	1	1
GO_POSITIVE_REGULATION_OF_TRANSCRIPTION_INITIATION_FROM_RNA_POLYMERASE_II_PROMOTER	GO_POSITIVE_REGULATION_OF_TRANSCRIPTION_INITIATION_FROM_RNA_POLYMERASE_II_PROMOTER	1	1	1
GO_APICAL_JUNCTION_ASSEMBLY	GO_APICAL_JUNCTION_ASSEMBLY	1	1	1
GO_LYMPHOCYTE_HOMEOSTASIS	GO_LYMPHOCYTE_HOMEOSTASIS	1	1	1
GO_SERTOLI_CELL_DEVELOPMENT	GO_SERTOLI_CELL_DEVELOPMENT	1	1	1
GO_NEGATIVE_REGULATION_OF_RNA_SPLICING	GO_NEGATIVE_REGULATION_OF_RNA_SPLICING	1	1	1
GO_ENDOSOME_TO_LYSOSOME_TRANSPORT	GO_ENDOSOME_TO_LYSOSOME_TRANSPORT	1	1	1
GO_DENDRITIC_SPINE_DEVELOPMENT	GO_DENDRITIC_SPINE_DEVELOPMENT	1	1	1
GO_REGULATION_OF_PROTEIN_OLIGOMERIZATION	GO_REGULATION_OF_PROTEIN_OLIGOMERIZATION	1	1	1
GO_SERINE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS	GO_SERINE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS	1	1	1
GO_CEREBELLAR_PURKINJE_CELL_LAYER_FORMATION	GO_CEREBELLAR_PURKINJE_CELL_LAYER_FORMATION	1	1	1
GO_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS	GO_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS	1	1	1
GO_INOSITOL_PHOSPHATE_CATABOLIC_PROCESS	GO_INOSITOL_PHOSPHATE_CATABOLIC_PROCESS	1	1	1
GO_C21_STEROID_HORMONE_METABOLIC_PROCESS	GO_C21_STEROID_HORMONE_METABOLIC_PROCESS	1	1	1
GO_NEGATIVE_REGULATION_OF_GLIAL_CELL_DIFFERENTIATION	GO_NEGATIVE_REGULATION_OF_GLIAL_CELL_DIFFERENTIATION	1	1	1
GO_POSITIVE_REGULATION_OF_SYNAPSE_ASSEMBLY	GO_POSITIVE_REGULATION_OF_SYNAPSE_ASSEMBLY	1	1	1
GO_TRANSMISSION_OF_NERVE_IMPULSE	GO_TRANSMISSION_OF_NERVE_IMPULSE	1	1	1
GO_POSITIVE_REGULATION_OF_EPIDERMAL_CELL_DIFFERENTIATION	GO_POSITIVE_REGULATION_OF_EPIDERMAL_CELL_DIFFERENTIATION	1	1	1
GO_POSITIVE_REGULATION_OF_TOR_SIGNALING	GO_POSITIVE_REGULATION_OF_TOR_SIGNALING	1	1	1
GO_POSITIVE_REGULATION_OF_GLIAL_CELL_DIFFERENTIATION	GO_POSITIVE_REGULATION_OF_GLIAL_CELL_DIFFERENTIATION	1	1	1
GO_MALE_SEX_DETERMINATION	GO_MALE_SEX_DETERMINATION	1	1	1
GO_TYPE_B_PANCREATIC_CELL_DEVELOPMENT	GO_TYPE_B_PANCREATIC_CELL_DEVELOPMENT	1	1	1
GO_REGULATION_OF_SERINE_TYPE_PEPTIDASE_ACTIVITY	GO_REGULATION_OF_SERINE_TYPE_PEPTIDASE_ACTIVITY	1	1	1
GO_NEGATIVE_REGULATION_OF_STEROID_METABOLIC_PROCESS	GO_NEGATIVE_REGULATION_OF_STEROID_METABOLIC_PROCESS	1	1	1
GO_BARBED_END_ACTIN_FILAMENT_CAPPING	GO_BARBED_END_ACTIN_FILAMENT_CAPPING	1	1	1
GO_NEGATIVE_REGULATION_OF_INTRACELLULAR_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY	GO_NEGATIVE_REGULATION_OF_INTRACELLULAR_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY	1	1	1
GO_REGULATION_OF_TYPE_2_IMMUNE_RESPONSE	GO_REGULATION_OF_TYPE_2_IMMUNE_RESPONSE	1	1	1
GO_3_UTR_MEDIATED_MRNA_STABILIZATION	GO_3_UTR_MEDIATED_MRNA_STABILIZATION	1	1	1
GO_DRUG_CATABOLIC_PROCESS	GO_DRUG_CATABOLIC_PROCESS	1	1	1
GO_POSITIVE_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION	GO_POSITIVE_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION	1	1	1
GO_PRIMITIVE_STREAK_FORMATION	GO_PRIMITIVE_STREAK_FORMATION	1	1	1
GO_POSITIVE_REGULATION_OF_NOTCH_SIGNALING_PATHWAY	GO_POSITIVE_REGULATION_OF_NOTCH_SIGNALING_PATHWAY	1	1	1
GO_CELLULAR_IRON_ION_HOMEOSTASIS	GO_CELLULAR_IRON_ION_HOMEOSTASIS	1	1	1
GO_MACROMOLECULE_DEACYLATION	GO_MACROMOLECULE_DEACYLATION	1	1	1
GO_TRANSLATIONAL_INITIATION	GO_TRANSLATIONAL_INITIATION	1	1	1
GO_ACTIVATION_OF_NF_KAPPAB_INDUCING_KINASE_ACTIVITY	GO_ACTIVATION_OF_NF_KAPPAB_INDUCING_KINASE_ACTIVITY	1	1	1
GO_SYNAPTIC_TRANSMISSION_CHOLINERGIC	GO_SYNAPTIC_TRANSMISSION_CHOLINERGIC	1	1	1
GO_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	GO_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	1	1	1
GO_REGULATION_OF_TOLL_LIKE_RECEPTOR_4_SIGNALING_PATHWAY	GO_REGULATION_OF_TOLL_LIKE_RECEPTOR_4_SIGNALING_PATHWAY	1	1	1
GO_WHITE_FAT_CELL_DIFFERENTIATION	GO_WHITE_FAT_CELL_DIFFERENTIATION	1	1	1
GO_OOGENESIS	GO_OOGENESIS	1	1	1
GO_REGULATION_OF_SHORT_TERM_NEURONAL_SYNAPTIC_PLASTICITY	GO_REGULATION_OF_SHORT_TERM_NEURONAL_SYNAPTIC_PLASTICITY	1	1	1
GO_ALDEHYDE_CATABOLIC_PROCESS	GO_ALDEHYDE_CATABOLIC_PROCESS	1	1	1
GO_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY	GO_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY	1	1	1
GO_HYALURONAN_CATABOLIC_PROCESS	GO_HYALURONAN_CATABOLIC_PROCESS	1	1	1
GO_NCRNA_3_END_PROCESSING	GO_NCRNA_3_END_PROCESSING	1	1	1
GO_LYMPH_NODE_DEVELOPMENT	GO_LYMPH_NODE_DEVELOPMENT	1	1	1
GO_REGULATION_OF_CELLULAR_COMPONENT_SIZE	GO_REGULATION_OF_CELLULAR_COMPONENT_SIZE	1	1	1
GO_SULFUR_COMPOUND_BIOSYNTHETIC_PROCESS	GO_SULFUR_COMPOUND_BIOSYNTHETIC_PROCESS	1	1	1
GO_REGULATION_OF_RESPIRATORY_GASEOUS_EXCHANGE_BY_NERVOUS_SYSTEM_PROCESS	GO_REGULATION_OF_RESPIRATORY_GASEOUS_EXCHANGE_BY_NERVOUS_SYSTEM_PROCESS	1	1	1
GO_POSITIVE_REGULATION_OF_CHOLESTEROL_EFFLUX	GO_POSITIVE_REGULATION_OF_CHOLESTEROL_EFFLUX	1	1	1
GO_POSITIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION	GO_POSITIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION	1	1	1
GO_MITOCHONDRIAL_TRANSLATION	GO_MITOCHONDRIAL_TRANSLATION	1	1	1
GO_REGULATION_OF_RETINOIC_ACID_RECEPTOR_SIGNALING_PATHWAY	GO_REGULATION_OF_RETINOIC_ACID_RECEPTOR_SIGNALING_PATHWAY	1	1	1
GO_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	GO_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	1	1	1
GO_POLYOL_CATABOLIC_PROCESS	GO_POLYOL_CATABOLIC_PROCESS	1	1	1
GO_NEGATIVE_REGULATION_OF_B_CELL_ACTIVATION	GO_NEGATIVE_REGULATION_OF_B_CELL_ACTIVATION	1	1	1
GO_OXIDATIVE_DEMETHYLATION	GO_OXIDATIVE_DEMETHYLATION	1	1	1
GO_REGULATION_OF_MACROPHAGE_ACTIVATION	GO_REGULATION_OF_MACROPHAGE_ACTIVATION	1	1	1
GO_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS	GO_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS	1	1	1
GO_L_AMINO_ACID_TRANSPORT	GO_L_AMINO_ACID_TRANSPORT	1	1	1
GO_POSITIVE_REGULATION_OF_ACTION_POTENTIAL	GO_POSITIVE_REGULATION_OF_ACTION_POTENTIAL	1	1	1
GO_REGULATION_OF_CHOLESTEROL_EFFLUX	GO_REGULATION_OF_CHOLESTEROL_EFFLUX	1	1	1
GO_NEGATIVE_REGULATION_OF_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	GO_NEGATIVE_REGULATION_OF_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	1	1
GO_ANION_TRANSMEMBRANE_TRANSPORT	GO_ANION_TRANSMEMBRANE_TRANSPORT	1	1	1
GO_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_SURFACE	GO_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_SURFACE	1	1	1
GO_RENAL_VESICLE_DEVELOPMENT	GO_RENAL_VESICLE_DEVELOPMENT	1	1	1
GO_NEGATIVE_REGULATION_OF_NERVOUS_SYSTEM_PROCESS	GO_NEGATIVE_REGULATION_OF_NERVOUS_SYSTEM_PROCESS	1	1	1
GO_POSITIVE_REGULATION_OF_HEART_GROWTH	GO_POSITIVE_REGULATION_OF_HEART_GROWTH	1	1	1
GO_NEGATIVE_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS	GO_NEGATIVE_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS	1	1	1
GO_LAYER_FORMATION_IN_CEREBRAL_CORTEX	GO_LAYER_FORMATION_IN_CEREBRAL_CORTEX	1	1	1
GO_POSITIVE_REGULATION_OF_ACTIN_CYTOSKELETON_REORGANIZATION	GO_POSITIVE_REGULATION_OF_ACTIN_CYTOSKELETON_REORGANIZATION	1	1	1
GO_SEX_DETERMINATION	GO_SEX_DETERMINATION	1	1	1
GO_OLIGOSACCHARIDE_CATABOLIC_PROCESS	GO_OLIGOSACCHARIDE_CATABOLIC_PROCESS	1	1	1
GO_PROTEASOME_ASSEMBLY	GO_PROTEASOME_ASSEMBLY	1	1	1
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	1	1	1
GO_PYRIMIDINE_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	GO_PYRIMIDINE_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	1	1	1
GO_RESPONSE_TO_POTASSIUM_ION	GO_RESPONSE_TO_POTASSIUM_ION	1	1	1
GO_THYMUS_DEVELOPMENT	GO_THYMUS_DEVELOPMENT	1	1	1
GO_CEREBELLAR_CORTEX_MORPHOGENESIS	GO_CEREBELLAR_CORTEX_MORPHOGENESIS	1	1	1
GO_POSITIVE_REGULATION_OF_CYTOPLASMIC_TRANSPORT	GO_POSITIVE_REGULATION_OF_CYTOPLASMIC_TRANSPORT	1	1	1
GO_DEFENSE_RESPONSE_TO_VIRUS	GO_DEFENSE_RESPONSE_TO_VIRUS	1	1	1
GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	1	1	1
GO_NEGATIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS	GO_NEGATIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS	1	1	1
GO_VACUOLAR_TRANSPORT	GO_VACUOLAR_TRANSPORT	1	1	1
GO_LEUKOCYTE_MEDIATED_CYTOTOXICITY	GO_LEUKOCYTE_MEDIATED_CYTOTOXICITY	1	1	1
GO_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING	GO_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING	1	1	1
GO_PHOTOTRANSDUCTION	GO_PHOTOTRANSDUCTION	1	1	1
GO_REGULATION_OF_LIGASE_ACTIVITY	GO_REGULATION_OF_LIGASE_ACTIVITY	1	1	1
GO_SULFATE_TRANSPORT	GO_SULFATE_TRANSPORT	1	1	1
GO_RESPONSE_TO_FOOD	GO_RESPONSE_TO_FOOD	1	1	1
GO_CAMP_BIOSYNTHETIC_PROCESS	GO_CAMP_BIOSYNTHETIC_PROCESS	1	1	1
GO_ALPHA_AMINO_ACID_CATABOLIC_PROCESS	GO_ALPHA_AMINO_ACID_CATABOLIC_PROCESS	1	1	1
GO_RRNA_METABOLIC_PROCESS	GO_RRNA_METABOLIC_PROCESS	1	1	1
GO_RESPIRATORY_SYSTEM_PROCESS	GO_RESPIRATORY_SYSTEM_PROCESS	1	1	1
GO_REGULATION_OF_T_HELPER_CELL_DIFFERENTIATION	GO_REGULATION_OF_T_HELPER_CELL_DIFFERENTIATION	1	1	1
GO_PH_REDUCTION	GO_PH_REDUCTION	1	1	1
GO_POSITIVE_REGULATION_OF_TRIGLYCERIDE_LIPASE_ACTIVITY	GO_POSITIVE_REGULATION_OF_TRIGLYCERIDE_LIPASE_ACTIVITY	1	1	1
GO_MONOSACCHARIDE_CATABOLIC_PROCESS	GO_MONOSACCHARIDE_CATABOLIC_PROCESS	1	1	1
GO_RESPONSE_TO_FUNGICIDE	GO_RESPONSE_TO_FUNGICIDE	1	1	1
GO_NEGATIVE_REGULATION_BY_HOST_OF_VIRAL_TRANSCRIPTION	GO_NEGATIVE_REGULATION_BY_HOST_OF_VIRAL_TRANSCRIPTION	1	1	1
GO_PROTEIN_NEDDYLATION	GO_PROTEIN_NEDDYLATION	1	1	1
GO_POTASSIUM_ION_HOMEOSTASIS	GO_POTASSIUM_ION_HOMEOSTASIS	1	1	1
GO_POSITIVE_REGULATION_OF_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY	GO_POSITIVE_REGULATION_OF_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY	1	1	1
GO_NEGATIVE_REGULATION_OF_MYOTUBE_DIFFERENTIATION	GO_NEGATIVE_REGULATION_OF_MYOTUBE_DIFFERENTIATION	1	1	1
GO_INORGANIC_ANION_TRANSPORT	GO_INORGANIC_ANION_TRANSPORT	1	1	1
GO_CARBOHYDRATE_PHOSPHORYLATION	GO_CARBOHYDRATE_PHOSPHORYLATION	1	1	1
GO_NUCLEOSIDE_BISPHOSPHATE_METABOLIC_PROCESS	GO_NUCLEOSIDE_BISPHOSPHATE_METABOLIC_PROCESS	1	1	1
GO_REGULATION_OF_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY	GO_REGULATION_OF_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY	1	1	1
GO_MAMMARY_GLAND_EPITHELIAL_CELL_DIFFERENTIATION	GO_MAMMARY_GLAND_EPITHELIAL_CELL_DIFFERENTIATION	1	1	1
GO_CELLULAR_RESPONSE_TO_GAMMA_RADIATION	GO_CELLULAR_RESPONSE_TO_GAMMA_RADIATION	1	1	1
GO_REGULATION_OF_HEAT_GENERATION	GO_REGULATION_OF_HEAT_GENERATION	1	1	1
GO_REGULATION_OF_FIBROBLAST_MIGRATION	GO_REGULATION_OF_FIBROBLAST_MIGRATION	1	1	1
GO_INDUCTION_OF_POSITIVE_CHEMOTAXIS	GO_INDUCTION_OF_POSITIVE_CHEMOTAXIS	1	1	1
GO_REGULATION_OF_TRANSLATIONAL_ELONGATION	GO_REGULATION_OF_TRANSLATIONAL_ELONGATION	1	1	1
GO_PITUITARY_GLAND_DEVELOPMENT	GO_PITUITARY_GLAND_DEVELOPMENT	1	1	1
GO_MATING	GO_MATING	1	1	1
GO_DEVELOPMENTAL_INDUCTION	GO_DEVELOPMENTAL_INDUCTION	1	1	1
GO_NEGATIVE_REGULATION_OF_ALCOHOL_BIOSYNTHETIC_PROCESS	GO_NEGATIVE_REGULATION_OF_ALCOHOL_BIOSYNTHETIC_PROCESS	1	1	1
GO_CHROMOSOME_SEPARATION	GO_CHROMOSOME_SEPARATION	1	1	1
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_VIA_MHC_CLASS_IB	GO_ANTIGEN_PROCESSING_AND_PRESENTATION_VIA_MHC_CLASS_IB	1	1	1
GO_GAMMA_AMINOBUTYRIC_ACID_SIGNALING_PATHWAY	GO_GAMMA_AMINOBUTYRIC_ACID_SIGNALING_PATHWAY	1	1	1
GO_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	GO_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	1	1	1
GO_THYROID_HORMONE_METABOLIC_PROCESS	GO_THYROID_HORMONE_METABOLIC_PROCESS	1	1	1
GO_APOPTOTIC_CELL_CLEARANCE	GO_APOPTOTIC_CELL_CLEARANCE	1	1	1
GO_RIBOSOME_ASSEMBLY	GO_RIBOSOME_ASSEMBLY	1	1	1
GO_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_DEPOLYMERIZATION	GO_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_DEPOLYMERIZATION	1	1	1
GO_DNA_LIGATION_INVOLVED_IN_DNA_REPAIR	GO_DNA_LIGATION_INVOLVED_IN_DNA_REPAIR	1	1	1
GO_HYPEROSMOTIC_RESPONSE	GO_HYPEROSMOTIC_RESPONSE	1	1	1
GO_NEGATIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	GO_NEGATIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	1	1	1
GO_ARTERY_DEVELOPMENT	GO_ARTERY_DEVELOPMENT	1	1	1
GO_NEGATIVE_REGULATION_OF_DENDRITE_MORPHOGENESIS	GO_NEGATIVE_REGULATION_OF_DENDRITE_MORPHOGENESIS	1	1	1
GO_POSTREPLICATION_REPAIR	GO_POSTREPLICATION_REPAIR	1	1	1
GO_CARDIAC_MYOFIBRIL_ASSEMBLY	GO_CARDIAC_MYOFIBRIL_ASSEMBLY	1	1	1
GO_CELLULAR_AMINO_ACID_BIOSYNTHETIC_PROCESS	GO_CELLULAR_AMINO_ACID_BIOSYNTHETIC_PROCESS	1	1	1
GO_CRANIAL_NERVE_MORPHOGENESIS	GO_CRANIAL_NERVE_MORPHOGENESIS	1	1	1
GO_ACTIVATION_OF_JUN_KINASE_ACTIVITY	GO_ACTIVATION_OF_JUN_KINASE_ACTIVITY	1	1	1
GO_REGULATION_OF_BROWN_FAT_CELL_DIFFERENTIATION	GO_REGULATION_OF_BROWN_FAT_CELL_DIFFERENTIATION	1	1	1
GO_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	GO_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	1	1	1
GO_RELAXATION_OF_CARDIAC_MUSCLE	GO_RELAXATION_OF_CARDIAC_MUSCLE	1	1	1
GO_POSITIVE_REGULATION_OF_BEHAVIOR	GO_POSITIVE_REGULATION_OF_BEHAVIOR	1	1	1
GO_CALCIUM_MEDIATED_SIGNALING_USING_INTRACELLULAR_CALCIUM_SOURCE	GO_CALCIUM_MEDIATED_SIGNALING_USING_INTRACELLULAR_CALCIUM_SOURCE	1	1	1
GO_NEURAL_TUBE_DEVELOPMENT	GO_NEURAL_TUBE_DEVELOPMENT	1	1	1
GO_POLYSACCHARIDE_METABOLIC_PROCESS	GO_POLYSACCHARIDE_METABOLIC_PROCESS	1	1	1
GO_CYCLIC_NUCLEOTIDE_METABOLIC_PROCESS	GO_CYCLIC_NUCLEOTIDE_METABOLIC_PROCESS	1	1	1
GO_MULTICELLULAR_ORGANISMAL_MOVEMENT	GO_MULTICELLULAR_ORGANISMAL_MOVEMENT	1	1	1
GO_CLATHRIN_COAT_ASSEMBLY	GO_CLATHRIN_COAT_ASSEMBLY	1	1	1
GO_NEGATIVE_REGULATION_OF_MEIOTIC_NUCLEAR_DIVISION	GO_NEGATIVE_REGULATION_OF_MEIOTIC_NUCLEAR_DIVISION	1	1	1
GO_VASCULAR_SMOOTH_MUSCLE_CELL_DIFFERENTIATION	GO_VASCULAR_SMOOTH_MUSCLE_CELL_DIFFERENTIATION	1	1	1
GO_DNA_INTEGRATION	GO_DNA_INTEGRATION	1	1	1
GO_REGULATION_OF_MYELINATION	GO_REGULATION_OF_MYELINATION	1	1	1
GO_NEGATIVE_REGULATION_OF_JUN_KINASE_ACTIVITY	GO_NEGATIVE_REGULATION_OF_JUN_KINASE_ACTIVITY	1	1	1
GO_REGULATION_OF_AXON_GUIDANCE	GO_REGULATION_OF_AXON_GUIDANCE	1	1	1
GO_RESPONSE_TO_COPPER_ION	GO_RESPONSE_TO_COPPER_ION	1	1	1
GO_REGULATION_OF_CIRCADIAN_SLEEP_WAKE_CYCLE	GO_REGULATION_OF_CIRCADIAN_SLEEP_WAKE_CYCLE	1	1	1
GO_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION	GO_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION	1	1	1
GO_RESPONSE_TO_AXON_INJURY	GO_RESPONSE_TO_AXON_INJURY	1	1	1
GO_OXALOACETATE_METABOLIC_PROCESS	GO_OXALOACETATE_METABOLIC_PROCESS	1	1	1
GO_NEGATIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_MEDIATED_SIGNALING_PATHWAY	GO_NEGATIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_MEDIATED_SIGNALING_PATHWAY	1	1	1
GO_NEGATIVE_REGULATION_OF_EXOCYTOSIS	GO_NEGATIVE_REGULATION_OF_EXOCYTOSIS	1	1	1
GO_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY	GO_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY	1	1	1
GO_NEGATIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	GO_NEGATIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	1	1	1
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	1	1	1
GO_HIPPO_SIGNALING	GO_HIPPO_SIGNALING	1	1	1
GO_NEGATIVE_REGULATION_OF_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	GO_NEGATIVE_REGULATION_OF_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	1	1	1
GO_REGULATION_OF_MEMBRANE_DEPOLARIZATION	GO_REGULATION_OF_MEMBRANE_DEPOLARIZATION	1	1	1
GO_AMINO_SUGAR_BIOSYNTHETIC_PROCESS	GO_AMINO_SUGAR_BIOSYNTHETIC_PROCESS	1	1	1
GO_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_CHROMOSOME	GO_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_CHROMOSOME	1	1	1
GO_REGULATION_OF_CARDIAC_MUSCLE_CELL_DIFFERENTIATION	GO_REGULATION_OF_CARDIAC_MUSCLE_CELL_DIFFERENTIATION	1	1	1
GO_POSITIVE_REGULATION_OF_DIGESTIVE_SYSTEM_PROCESS	GO_POSITIVE_REGULATION_OF_DIGESTIVE_SYSTEM_PROCESS	1	1	1
GO_TETRAPYRROLE_BIOSYNTHETIC_PROCESS	GO_TETRAPYRROLE_BIOSYNTHETIC_PROCESS	1	1	1
GO_PROTEIN_LIPID_COMPLEX_ASSEMBLY	GO_PROTEIN_LIPID_COMPLEX_ASSEMBLY	1	1	1
GO_POSITIVE_REGULATION_OF_SODIUM_ION_TRANSPORT	GO_POSITIVE_REGULATION_OF_SODIUM_ION_TRANSPORT	1	1	1
GO_DETECTION_OF_OTHER_ORGANISM	GO_DETECTION_OF_OTHER_ORGANISM	1	1	1
